"Country
",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Central African Republic,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.506,480.176,494.521,525.329,490.67,534.481,556.476,564.967,570.15,571.689,592.415
Chad,163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.426,689.327,654.882,697.617,683.892,667.507,682.159,700.515,724.815,750.766,777.975
Chile,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14567.988,13067.742,16059.804,15094.829,17827.414,18510.216,19071.735,19613.083,20247.786,20971.27
"China, People's Republic of",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12572.071,12813.765,13721.051,14800.645,15901.1,17082.893,18316.857,19622.729
Colombia,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.682,4834.416,5622.109,5330.795,6498.585,7518.304,8237.293,8409.688,8312.056,6337.022,6037.133,6577.287,6923.64,6540.141,5363.072,6239.274,6664.269,6417.047,6592.582,6848.878,7151.306,7464.117,7790.612
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1395.028,1290.743,1360.535,1368.378,1399.965,1431.44,1458.916,1476.581
"Congo, Dem. Rep. of the",2730.694,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.38,1120.914,973.197,1222.443,639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,226.776,265.901,310.819,366.699,291.745,338.802,387.825,427.848,481.137,512.244,519.68,477.259,478.789,564.342,578.891,536.45,602.83,649.369,695.103,746.932,804.562,866.957,932.489,996.188
"Congo, Republic of ",1362.75,1083.721,916.547,808.393,721.033,717.264,951.697,1121.613,1157.519,1150.77,1310.373,1326.741,1398.92,1249.625,839.501,973.005,1097.225,967.806,823.561,949.351,1268.422,1037.327,1109.284,1255.568,1617.326,2058.304,2436.377,2586.304,3346.18,2722.039,3597.956,4175.34,4607.39,4559.725,4438.243,2873.72,2408.731,2551.106,3069.052,2826.475,2243.216,2527.886,2547.288,2584.6,2650.607,2658.477,2678.74,2693.52,2690.61
Costa Rica,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.912,3110.155,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.126,12163.927,12472.833,13077.23,14733.266,15374.602,16055.174,16759.386,17499.331,18248.393
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,120.012,1590.721,3683.337,4637.896,4917.393,4832.846,5324.47,5179.459,5053.534,5363.191,6216.126,8191.304,9718.251,10453.246,11490.022,13730.883,15855.122,14372.182,13676.692,14619.948,13417.796,13948.875,13976.056,12070.738,12548.245,13556.318,15009.085,15089.097,14224.015,17759.916,18427.262,20537.079,21648.725,22692.255,23706.241,24663.405,25514.947
Cyprus,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.745,14324.09,15181.635,15379.994,14464.952,14905.024,16188.394,20389.337,23969.991,25527.08,27448.397,31774.426,36009.56,32650.265,31522.217,32910.616,29075.12,27671.485,27076.806,23507.457,24802.469,26834.665,29631.854,29624.325,28139.894,31726.19,31465.518,33807.108,35103.586,36671.663,38250.22,39779.328,41068.21
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5820.043,6529.042,6030.633,6484.201,6333.862,6015.067,6627.103,8056.318,9823.287,11751.897,13446.938,15284.674,18527.743,22925.748,19908.146,19983.577,21890.781,19880.902,20129.622,19915.381,17842.868,18597.213,20666.666,23468.355,23713.889,23001.306,26331.255,27612.934,31368.429,33744.608,35873.527,37437.751,38780.152,40079.02
Côte d'Ivoire,1736.234,1406.882,1215.258,1043.55,1012.124,993.897,1280.038,1355.598,1357.337,1248.342,1327.017,1240.012,1268.092,1142.993,835.243,1073.957,1152.492,1084.699,1137.47,1087.359,919.133,933.679,1007.013,1214.326,1279.203,1286.239,1306.168,1455.643,1693.645,1652.657,1649.172,1657.011,1684.598,1915.551,2111.723,1928.754,1985.513,2099.126,2281.931,2275.463,2335.274,2592.749,2468.343,2646.237,2785.99,2935.436,3082.378,3219.973,3357.311
Denmark,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59678.596,61005.841,68202.07,66516.079,68827.425,71018.784,73770.873,76588.145,79571.862,82680.753
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1075.362,1069.558,1090.97,1057.623,1108.89,1108.217,1077.269,1067.633,1060.781,1084.065,1087.356,1105.8,1120.278,1159.547,1211.887,1270.21,1358.41,1477.248,1691.088,1720.976,1835.755,2036.945,2188.547,2312.724,2464.295,2652.513,2803.689,2926.153,3038.27,3172.751,3219.701,3364.91,3588.496,3802.89,4105.978,4385.455,4663.961,4962.285,5281.823
Dominica,no data,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7160.275,6994.866,7153.468,7388.583,7596.222,8089.25,7507.368,7981.044,8466.407,6872.22,7280.879,8253.162,9144.025,9751.295,10318.161,10750.011,11207.527,11680.186
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.611,7553.509,8961.864,10581.202,11308.561,12010.004,12760.086,13543.209,14373.921,15264.618
Ecuador,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603,5670.33,5978.915,6462.217,6642.7,6829.211,6987.739,7159.412,7329.498,7503.562
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3569.482,3583.854,3705.465,3933.927,3862.011,2592.707,2710.158,3214.301,3802.438,4145.939,4563.298,3644.255,3399.267,3624.801,3851.875,4091.744,4305.64
El Salvador,806.915,703.457,689.204,656.058,476.822,459.963,458.437,460.592,530.169,596.506,891.76,959.119,1047.044,1186.338,1348.917,1552.129,1653.642,1749.513,1858.366,1904.859,1977.835,2051.157,2106.731,2197.5,2273.939,2434.331,2651.446,2814.604,2964.171,2889.68,3017.325,3305.001,3471.046,3555.187,3638.533,3761.493,3870.319,3986.02,4145.891,4280.299,3903.414,4551.161,4987.903,5308.092,5494.276,5689.948,5895.363,6101.705,6325.792
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1251.452,1885.985,2616.487,3107.854,5424.13,8214.073,10810.445,12743.347,15782.688,22834.435,16596.742,17153.165,21479.995,21556.417,20252.748,19271.286,11217.985,9202.539,9624.532,9968.089,8355.342,7181.47,8447.959,10980.2,9777.944,8324.098,7568.183,7433.822,7425.233,7302.424
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,595.657,614.261,650.819,715.097,754.956,799.684,852.321,911.524,965.249
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1194.189,1711.271,2721.005,3379.95,3686.89,4096.127,4151.432,4084.938,4516.219,5358.418,7216.265,8923.191,10426.689,12657.064,16764.936,18273.297,14756.39,14696.814,17484.728,17414.24,19056.283,20253.974,17403.806,18290.293,20430.567,23176.358,23427.074,23576.356,27962.284,28631.096,31209.075,33485.164,36507.593,39131.68,41839.002,44584.849
Eswatini,1329.789,1359.195,1174.424,1167.158,963.592,736.012,909.797,1149.956,1320.95,1305.673,1558.18,1574.778,1703.465,1747.48,1851.22,2160.27,2005.245,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.132,4325.841,4133.645,3766.458,3513.8,4031.056,4225.743,4031.719,3535.09,4164.801,3876.193,4146.583,4345.33,4432.072,4514.622,4571.703,4580.936
